entity_text,entity_type
450塊,money
450塊,money
800塊,money
800塊,money
三百塊,money
幾千塊,money
好幾千塊,money
100塊,money
100塊,money
三百塊,money
1500元,money
三十二塊,money
三十二塊,money
215塊,money
四方錢,money
一塊,money
四塊,money
150塊,money
十塊錢,money
兩百二十八塊,money
不到十塊,money
1300,money
兩千多塊,money
380,money
3000塊錢,money
3000塊,money
10塊,money
七十幾,money
七十塊,money
七十塊,money
六千多塊,money
250塊,money
250塊,money
5000,money
12500多塊,money
5000多,money
將近6000塊,money
525,money
兩萬多塊,money
一萬三,money
九百多塊,money
414塊,money
七十塊,money
60塊,money
510,money
五千多塊,money
五百五十二塊,money
一百八十塊,money
五千五百塊,money
七百塊,money
七百塊,money
五千塊,money
